fid,country_name
0,Unassigned/NoData
1,Norway
2,Sweden
3,Germany
4,Netherlands
5,Russia
6,Cambodia
7,Croatia
8,Myanmar
9,Vietnam
10,Canada
11,United States of America
12,Mexico
13,Chile
14,Botswana
15,Indonesia
16,Ecuador
17,Papua New Guinea
18,Panama
19,Philippines
20,Turks and Caicos Is.
21,Belize
22,Japan
23,China
24,Finland
25,Greenland
26,Antarctica
27,Pitcairn Is.
28,Fr. Polynesia
29,Fr. S. Antarctic Lands
30,Seychelles
31,Kiribati
32,Marshall Is.
33,India
34,Venezuela
35,France
36,Honduras
37,U.S. Minor Outlying Is.
38,British Virgin Is.
39,Cuba
40,Bahamas
41,Bermuda
42,Greece
43,Italy
44,Isle of Man
45,United Kingdom
46,Åland
47,Faeroe Is.
48,Br. Indian Ocean Ter.
49,Fiji
50,Cook Is.
51,Tuvalu
52,Maldives
53,Micronesia
54,Tonga
55,Vanuatu
56,Bahrain
57,Unknown_Name_FID_57
58,Palau
59,Turkish Cypriot Adm.
60,Macao
61,Australia
62,Egypt
63,Dem. Rep. Congo
64,Chad
65,Oman
66,Kazakhstan
67,Lebanon
68,Syria
69,United Arab Emirates
70,Estonia
71,Latvia
72,Lithuania
73,Macedonia
74,Albania
75,Azerbaijan
76,Georgia
77,Armenia
78,Brazil
79,Ireland
80,Sierra Leone
81,Guinea
82,Central African Rep.
83,Sudan
84,Djibouti
85,Zambia
86,Austria
87,Liechtenstein
88,Nigeria
89,Benin
90,Slovenia
91,Hungary
92,Thailand
93,San Marino
94,Dominican Rep.
95,Haiti
96,Kuwait
97,Iraq
98,Andorra
99,Kosovo
100,Rwanda
101,Uganda
102,Serbia
103,Montenegro
104,El Salvador
105,Belgium
106,Switzerland
107,Bosnia and Herz.
108,Slovakia
109,Czechia
110,Bulgaria
111,Romania
112,Moldova
113,Ukraine
114,Iran
115,Tanzania
116,Burundi
117,Ethiopia
118,S. Sudan
119,Gabon
120,Ghana
121,Côte d'Ivoire
122,Gibraltar
123,Spain
124,Guatemala
125,Costa Rica
126,Colombia
127,Uzbekistan
128,Afghanistan
129,Jordan
130,Yemen
131,Algeria
132,Mauritania
133,Senegal
134,Guinea-Bissau
135,Somalia
136,Kenya
137,Cameroon
138,Eq. Guinea
139,Namibia
140,Gambia
141,Togo
142,Burkina Faso
143,Malawi
144,Mozambique
145,Hong Kong
146,Cyprus
147,Congo
148,Qatar
149,South Korea
150,Turkey
151,Trinidad and Tobago
152,Grenada
153,Barbados
154,St. Vin. and Gren.
155,Saint Lucia
156,Dominica
157,Antigua and Barb.
158,St. Kitts and Nevis
159,Anguilla
160,Jamaica
161,Mauritius
162,Malta
163,Singapore
164,Samoa
165,Nauru
166,New Zealand
167,Peru
168,Nicaragua
169,Madagascar
170,Eritrea
171,Libya
172,Cabo Verde
173,South Africa
174,Iceland
175,Liberia
176,Morocco
177,Pakistan
178,Malaysia
179,Denmark
180,Tunisia
181,Saudi Arabia
182,Bangladesh
183,North Korea
184,Turkmenistan
185,Angola
186,Portugal
187,Argentina
188,New Caledonia
189,Guyana
190,Sri Lanka
191,Curaçao
192,Aruba
193,Republic of China
194,St. Pierre and Miquelon
195,U.S. Virgin Is.
196,St-Barthélemy
197,Puerto Rico
198,Cayman Is.
199,Heard I. and McDonald Is.
200,Saint Helena
201,Comoros
202,São Tomé and Principe
203,Jersey
204,Guernsey
205,Norfolk Island
206,Wallis and Futuna Is.
207,Solomon Is.
208,Timor-Leste
209,S. Geo. and the Is.
210,Falkland Is.
211,Niue
212,American Samoa
213,Guam
214,N. Mariana Is.
215,Uruguay
216,Bolivia
217,Israel
218,Palestine
219,Bhutan
220,Belarus
221,St-Martin
222,Sint Maarten
223,Mongolia
224,Luxembourg
225,Laos
226,Kyrgyzstan
227,Poland
228,Tajikistan
229,Mali
230,Zimbabwe
231,Brunei
232,Monaco
233,eSwatini
234,Suriname
235,Paraguay
236,Nepal
237,Lesotho
238,Niger
239,W. Sahara
240,Montserrat
241,Unknown_Name_FID_241
